company_name,company_id,company_isin,company_lei,weights,investment_value,engagement_target
Customer6,Customer6,N/A,N/A,2.86%,3101504,
Customer116,Customer116,N/A,N/A,27.74%,30037648,
Customer117,Customer117,N/A,N/A,19.94%,21590662,
Customer119,Customer119,N/A,789000USXJ5EA7GBM139,13.58%,14708835,
Customer121,Customer121,N/A,789000SVZUQTHE1Q7X60,14.97%,16208861,
Customer123,Customer123,TREMEGM00024,789000M81MSDAWKJ3I59,2.86%,3093208,
Customer128,Customer128,N/A,N/A,0.33%,353955,
Customer129,Customer129,N/A,N/A,0.64%,698174,
Customer130,Customer130,N/A,N/A,0.32%,343052,
Customer132,Customer132,N/A,N/A,0.30%,323587,
Customer133,Customer133,TREKLSN00026,789000HBB40EZ5QLBX03,0.23%,248837,
Customer134,Customer134,N/A,N/A,0.22%,237608,
Customer136,Customer136,N/A,N/A,0.26%,282373,
Customer138,Customer138,N/A,N/A,0.79%,855537,
Customer140,Customer140,N/A,N/A,0.74%,805585,
Customer143,Customer143,N/A,N/A,0.96%,1034223,
Customer144,Customer144,N/A,N/A,0.16%,177715,
Customer146,Customer146,N/A,N/A,0.01%,15558,
Customer150,Customer150,N/A,N/A,0.24%,263158,
Customer153,Customer153,N/A,N/A,0.03%,30951,
Customer154,Customer154,N/A,N/A,0.05%,52776,
Customer156,Customer156,N/A,N/A,0.04%,40440,
Customer158,Customer158,N/A,N/A,0.27%,295381,
Customer160,Customer160,N/A,N/A,8.61%,9319302,
Customer163,Customer163,N/A,N/A,0.01%,13426,
Customer164,Customer164,N/A,N/A,3.84%,4162288,
